Bell Pepers,Spinach,Peas,Potato,Corn,Tomato,Celary,Watermelon,Brinjal,Pumpkin,
Potato,Spinach,Bell Pepers,Brinjal,,,,,,,
Celary,Tomato,Pumpkin,Corn,,,,,,,
Brinjal,Bell Pepers,Corn,Celary,Tomato,Peas,Watermelon,,,,
Celary,Tomato,Peas,Potato,,,,,,,
Bell Pepers,Watermelon,Brinjal,Tomato,Celary,Spinach,,,,,
Spinach,Peas,Tomato,Bell Pepers,Watermelon,,,,,,
Potato,Bell Pepers,Corn,Pumpkin,,,,,,,
Peas,Celary,Pumpkin,Spinach,,,,,,,
Potato,Corn,Bell Pepers,,,,,,,,
Peas,Celary,Pumpkin,,,,,,,,
Potato,Pumpkin,Bell Pepers,Spinach,,,,,,,
Tomato,Bell Pepers,Brinjal,Corn,,,,,,,
Corn,Peas,Tomato,,,,,,,,
Bell Pepers,Peas,Pumpkin,Tomato,,,,,,,
Tomato,Pumpkin,Peas,Corn,Brinjal,,,,,,
Watermelon,Spinach,Potato,Celary,Bell Pepers,,,,,,
Bell Pepers,Celary,Corn,,,,,,,,
Celary,Corn,,,,,,,,,
Bell Pepers,Brinjal,Celary,Corn,Peas,Potato,Pumpkin,Spinach,Tomato,Watermelon,
